"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 04 14:30:17 GMT+03:00 2024","Sat May 04 14:30:19 GMT+03:00 2024","2062","","clients.order.createorder.CreateOrderTest","","clients.order.createorder.CreateOrderTest","unauthorizedCreateOrderTest","unauthorizedCreateOrderTest",""
"passed","Sat May 04 14:30:35 GMT+03:00 2024","Sat May 04 14:30:37 GMT+03:00 2024","1315","","clients.user.reg.ClientUserRegTest","","clients.user.reg.ClientUserRegTest","uniqueUserAddTest","uniqueUserAddTest",""
"passed","Sat May 04 14:30:09 GMT+03:00 2024","Sat May 04 14:30:14 GMT+03:00 2024","4908","","clients.order.createorder.CreateOrderTest","","clients.order.createorder.CreateOrderTest","unauthorizedCreateOrderWithoutIngredientsTest","unauthorizedCreateOrderWithoutIngredientsTest",""
"passed","Sat May 04 14:30:37 GMT+03:00 2024","Sat May 04 14:30:38 GMT+03:00 2024","1462","","clients.user.reg.ClientUserRegTest","","clients.user.reg.ClientUserRegTest","UserAddWithoutEmailTest","UserAddWithoutEmailTest",""
"passed","Sat May 04 14:30:14 GMT+03:00 2024","Sat May 04 14:30:15 GMT+03:00 2024","1710","","clients.order.createorder.CreateOrderTest","","clients.order.createorder.CreateOrderTest","authorizedCreateOrderWithIncorrectIngredientTest","authorizedCreateOrderWithIncorrectIngredientTest",""
"passed","Sat May 04 14:30:29 GMT+03:00 2024","Sat May 04 14:30:30 GMT+03:00 2024","1067","","clients.user.login.ClientLoginTest","","clients.user.login.ClientLoginTest","loginTest","loginTest",""
"passed","Sat May 04 14:30:34 GMT+03:00 2024","Sat May 04 14:30:35 GMT+03:00 2024","1209","","clients.user.reg.ClientUserRegTest","","clients.user.reg.ClientUserRegTest","UserAddWithoutPasswordTest","UserAddWithoutPasswordTest",""
"passed","Sat May 04 14:30:40 GMT+03:00 2024","Sat May 04 14:30:42 GMT+03:00 2024","1890","","clients.user.updatedata.ClientUpdateDataTest","","clients.user.updatedata.ClientUpdateDataTest","updateUnauthorizedUserDataTest","updateUnauthorizedUserDataTest",""
"passed","Sat May 04 14:30:33 GMT+03:00 2024","Sat May 04 14:30:34 GMT+03:00 2024","1652","","clients.user.reg.ClientUserRegTest","","clients.user.reg.ClientUserRegTest","UserAddWithoutNameTest","UserAddWithoutNameTest",""
"passed","Sat May 04 14:30:24 GMT+03:00 2024","Sat May 04 14:30:27 GMT+03:00 2024","3157","","clients.order.getusersorders.GetUsersOrderTest","","clients.order.getusersorders.GetUsersOrderTest","authorizedGetOrdersTest","authorizedGetOrdersTest",""
"passed","Sat May 04 14:30:15 GMT+03:00 2024","Sat May 04 14:30:17 GMT+03:00 2024","1677","","clients.order.createorder.CreateOrderTest","","clients.order.createorder.CreateOrderTest","unauthorizedCreateOrderWithIncorrectIngredientTest","unauthorizedCreateOrderWithIncorrectIngredientTest",""
"passed","Sat May 04 14:30:31 GMT+03:00 2024","Sat May 04 14:30:33 GMT+03:00 2024","1446","","clients.user.reg.ClientUserRegTest","","clients.user.reg.ClientUserRegTest","duplicateUserAddTest","duplicateUserAddTest",""
"passed","Sat May 04 14:30:22 GMT+03:00 2024","Sat May 04 14:30:24 GMT+03:00 2024","1749","","clients.order.createorder.CreateOrderTest","","clients.order.createorder.CreateOrderTest","authorizedCreateOrderWithoutIngredientsTest","authorizedCreateOrderWithoutIngredientsTest",""
"passed","Sat May 04 14:30:19 GMT+03:00 2024","Sat May 04 14:30:22 GMT+03:00 2024","3023","","clients.order.createorder.CreateOrderTest","","clients.order.createorder.CreateOrderTest","authorizedCreateOrderTest","authorizedCreateOrderTest",""
"passed","Sat May 04 14:30:38 GMT+03:00 2024","Sat May 04 14:30:40 GMT+03:00 2024","2065","","clients.user.updatedata.ClientUpdateDataTest","","clients.user.updatedata.ClientUpdateDataTest","updateAuthorizedUserDataTest","updateAuthorizedUserDataTest",""
"passed","Sat May 04 14:30:27 GMT+03:00 2024","Sat May 04 14:30:29 GMT+03:00 2024","1676","","clients.order.getusersorders.GetUsersOrderTest","","clients.order.getusersorders.GetUsersOrderTest","unauthorizedGetOrdersTest","unauthorizedGetOrdersTest",""
"passed","Sat May 04 14:30:30 GMT+03:00 2024","Sat May 04 14:30:31 GMT+03:00 2024","1332","","clients.user.login.ClientLoginTest","","clients.user.login.ClientLoginTest","loginWithIncorrectDataTest","loginWithIncorrectDataTest",""
